[Sat Dec 19 11:05:44 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 11:05:57 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 11:05:58 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 11:06:04 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 11:06:12 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:15:29 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:20:34 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 12:21:22 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 12:21:28 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 12:21:48 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:22:27 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:22:44 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:22:51 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:23:07 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 12:36:49 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/css/css.css, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 13:53:27 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 13:55:42 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 13:56:22 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 13:57:13 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 13:57:20 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 13:57:23 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:03:30 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:03:40 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 22:03:53 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:04:09 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:04:43 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:05:01 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:05:27 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:07:30 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:07:33 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:07:49 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:07:52 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:07:57 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:07:59 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:08:00 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:08:22 2015] [error] [client 125.71.43.185] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:10:15 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:18:40 2015] [error] [client 125.71.229.58] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:21:57 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:23:58 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:24:17 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:24:29 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:24:57 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:26:54 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/client/artwork/demo_files/skin, referer: http://120.24.169.214:8000/client/artwork_index/
[Sat Dec 19 14:27:15 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 14:27:34 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
[Sat Dec 19 22:29:24 2015] [error] [client 117.176.140.241] File does not exist: /root/yz_app.github.io/yz_site/yz_app/static/files/news_imgs/undefined.png, referer: http://120.24.169.214:8000/client/news_PBL/
